,Layer Name,Input Feature Map Location,Input upsampling ratio,Input channels,Input rows,Input columns,Input bytes,Output Feature Map Location,Output down sampling location,Output channels,Output rows,Output columns,Output bytes,Filter co-efficient Location,Filter upsampling ratio,Filter grouping,Filter rows,Filter columns,Filter bytes,Input feature map movement time,Filter co-efficient movement time,Output feature map data movement time,Total data movement time,Matrix compute time,Vector compute time,Total compute time,Serial total time,Parallel total time
86,mixed2,1,1,64,35,35,352800,1,1,288,35,35,352800,0,0,0,0,0,0,2.744e-05,0.0,0,2.744e-05,0.0,0.0,0.0,2.744e-05,2.744e-05
87,conv2d_27,1,1,288,35,35,352800,1,1,64,35,35,78400,0,1,64,1,1,18432,0.0,1.8432e-06,0,1.8432e-06,2.205e-05,0.0,2.205e-05,2.38932e-05,2.205e-05
88,batch_normalization_27,1,1,64,35,35,78400,1,1,64,35,35,78400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.45e-06,2.45e-06,2.45e-06,2.45e-06
89,activation_76,1,1,64,35,35,78400,1,1,64,35,35,78400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,2.45e-06,2.45e-06,2.45e-06,2.45e-06
90,conv2d_28,1,1,64,35,35,78400,1,1,96,35,35,117600,0,1,96,3,3,55296,0.0,5.5296e-06,0,5.5296e-06,6.615e-05,0.0,6.615e-05,7.167959999999999e-05,6.615e-05
91,batch_normalization_28,1,1,96,35,35,117600,1,1,96,35,35,117600,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.675e-06,3.675e-06,3.675e-06,3.675e-06
92,activation_77,1,1,96,35,35,117600,1,1,96,35,35,117600,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.675e-06,3.675e-06,3.675e-06,3.675e-06
93,conv2d_26,1,1,288,35,35,352800,1,2,384,17,17,110976,0,1,384,3,3,995328,0.0,9.95328e-05,0,9.95328e-05,0.000280908,0.0,0.000280908,0.0003804408,0.000280908
94,conv2d_29,1,1,96,35,35,117600,1,2,96,17,17,27744,0,1,96,3,3,82944,0.0,8.2944e-06,0,8.2944e-06,2.3409e-05,0.0,2.3409e-05,3.17034e-05,2.3409e-05
95,batch_normalization_26,1,1,384,17,17,110976,1,1,384,17,17,110976,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.468e-06,3.468e-06,3.468e-06,3.468e-06
96,batch_normalization_29,1,1,96,17,17,27744,1,1,96,17,17,27744,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,8.67e-07,8.67e-07,8.67e-07,8.67e-07
97,activation_75,1,1,384,17,17,110976,1,1,384,17,17,110976,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,3.468e-06,3.468e-06,3.468e-06,3.468e-06
98,activation_78,1,1,96,17,17,27744,1,1,96,17,17,27744,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,8.67e-07,8.67e-07,8.67e-07,8.67e-07
99,max_pooling2d_3,1,1,288,35,35,352800,1,2,96,17,17,27744,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.1025e-05,1.1025e-05,1.1025e-05,1.1025e-05
100,mixed3,1,1,96,17,17,166464,1,1,576,17,17,166464,0,0,0,0,0,0,1.3872e-05,0.0,0,1.3872e-05,0.0,0.0,0.0,1.3872e-05,1.3872e-05
101,conv2d_34,1,1,576,17,17,166464,1,1,128,17,17,36992,0,1,128,1,1,73728,0.0,7.3728e-06,0,7.3728e-06,2.0808e-05,0.0,2.0808e-05,2.81808e-05,2.0808e-05
102,batch_normalization_34,1,1,128,17,17,36992,1,1,128,17,17,36992,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.156e-06,1.156e-06,1.156e-06,1.156e-06
103,activation_83,1,1,128,17,17,36992,1,1,128,17,17,36992,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.156e-06,1.156e-06,1.156e-06,1.156e-06
104,conv2d_35,1,1,128,17,17,36992,1,1,128,11,23,32384,0,1,128,7,1,114688,0.0,1.14688e-05,0,1.14688e-05,3.2368e-05,0.0,3.2368e-05,4.38368e-05,3.2368e-05
105,batch_normalization_35,1,1,128,11,23,32384,1,1,128,11,23,32384,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.012e-06,1.012e-06,1.012e-06,1.012e-06
106,activation_84,1,1,128,11,23,32384,1,1,128,11,23,32384,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.012e-06,1.012e-06,1.012e-06,1.012e-06
107,conv2d_31,1,1,576,17,17,166464,1,1,128,17,17,36992,0,1,128,1,1,73728,0.0,7.3728e-06,0,7.3728e-06,2.0808e-05,0.0,2.0808e-05,2.81808e-05,2.0808e-05
108,conv2d_36,1,1,128,11,23,32384,1,1,128,17,17,36992,0,1,128,1,7,114688,0.0,1.14688e-05,0,1.14688e-05,2.8336e-05,0.0,2.8336e-05,3.98048e-05,2.8336e-05
109,batch_normalization_31,1,1,128,17,17,36992,1,1,128,17,17,36992,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.156e-06,1.156e-06,1.156e-06,1.156e-06
110,batch_normalization_36,1,1,128,17,17,36992,1,1,128,17,17,36992,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.156e-06,1.156e-06,1.156e-06,1.156e-06
111,activation_80,1,1,128,17,17,36992,1,1,128,17,17,36992,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.156e-06,1.156e-06,1.156e-06,1.156e-06
112,activation_85,1,1,128,17,17,36992,1,1,128,17,17,36992,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.156e-06,1.156e-06,1.156e-06,1.156e-06
113,conv2d_32,1,1,128,17,17,36992,1,1,128,23,11,32384,0,1,128,1,7,114688,0.0,1.14688e-05,0,1.14688e-05,3.2368e-05,0.0,3.2368e-05,4.38368e-05,3.2368e-05
114,conv2d_37,1,1,128,17,17,36992,1,1,128,11,23,32384,0,1,128,7,1,114688,0.0,1.14688e-05,0,1.14688e-05,3.2368e-05,0.0,3.2368e-05,4.38368e-05,3.2368e-05
115,batch_normalization_32,1,1,128,23,11,32384,1,1,128,23,11,32384,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.012e-06,1.012e-06,1.012e-06,1.012e-06
116,batch_normalization_37,1,1,128,11,23,32384,1,1,128,11,23,32384,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.012e-06,1.012e-06,1.012e-06,1.012e-06
117,activation_81,1,1,128,23,11,32384,1,1,128,23,11,32384,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.012e-06,1.012e-06,1.012e-06,1.012e-06
118,activation_86,1,1,128,11,23,32384,1,1,128,11,23,32384,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.012e-06,1.012e-06,1.012e-06,1.012e-06
119,average_pooling2d_3,1,1,576,17,17,166464,1,1,128,15,21,40320,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,5.202e-06,5.202e-06,5.202e-06,5.202e-06
120,conv2d_30,1,1,576,17,17,166464,1,1,192,17,17,55488,0,1,192,1,1,110592,0.0,1.10592e-05,0,1.10592e-05,3.1212e-05,0.0,3.1212e-05,4.22712e-05,3.1212e-05
121,conv2d_33,1,1,128,23,11,32384,1,1,192,17,17,55488,0,1,192,7,1,172032,0.0,1.72032e-05,0,1.72032e-05,4.2504e-05,0.0,4.2504e-05,5.97072e-05,4.2504e-05
122,conv2d_38,1,1,128,11,23,32384,1,1,192,17,17,55488,0,1,192,1,7,172032,0.0,1.72032e-05,0,1.72032e-05,4.2504e-05,0.0,4.2504e-05,5.97072e-05,4.2504e-05
123,conv2d_39,1,1,128,15,21,40320,1,1,192,15,21,60480,0,1,192,1,1,24576,0.0,2.4576e-06,0,2.4576e-06,7.56e-06,0.0,7.56e-06,1.00176e-05,7.56e-06
124,batch_normalization_30,1,1,192,17,17,55488,1,1,192,17,17,55488,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.734e-06,1.734e-06,1.734e-06,1.734e-06
125,batch_normalization_33,1,1,192,17,17,55488,1,1,192,17,17,55488,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.734e-06,1.734e-06,1.734e-06,1.734e-06
126,batch_normalization_38,1,1,192,17,17,55488,1,1,192,17,17,55488,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.734e-06,1.734e-06,1.734e-06,1.734e-06
127,batch_normalization_39,1,1,192,15,21,60480,1,1,192,15,21,60480,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.89e-06,1.89e-06,1.89e-06,1.89e-06
128,activation_79,1,1,192,17,17,55488,1,1,192,17,17,55488,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.734e-06,1.734e-06,1.734e-06,1.734e-06
129,activation_82,1,1,192,17,17,55488,1,1,192,17,17,55488,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.734e-06,1.734e-06,1.734e-06,1.734e-06
130,activation_87,1,1,192,17,17,55488,1,1,192,17,17,55488,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.734e-06,1.734e-06,1.734e-06,1.734e-06
131,activation_88,1,1,192,15,21,60480,1,1,192,15,21,60480,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.89e-06,1.89e-06,1.89e-06,1.89e-06
132,mixed4,1,1,192,15,21,226944,1,1,768,15,21,241920,0,0,0,0,0,0,1.66464e-05,0.0,0,1.66464e-05,0.0,0.0,0.0,1.66464e-05,1.66464e-05
133,conv2d_44,1,1,768,15,21,241920,1,1,160,15,21,50400,0,1,160,1,1,122880,0.0,1.2288e-05,0,1.2288e-05,3.78e-05,0.0,3.78e-05,5.0088e-05,3.78e-05
134,batch_normalization_44,1,1,160,15,21,50400,1,1,160,15,21,50400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.575e-06,1.575e-06,1.575e-06,1.575e-06
135,activation_93,1,1,160,15,21,50400,1,1,160,15,21,50400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.575e-06,1.575e-06,1.575e-06,1.575e-06
